"pub_date","date_type","href","title","lan"
"27.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIyMTI=.html","Green Lease / grüne Mietverträge Analyse und Handlungsoptionen für  die aktuelle Situation in der Schweiz","DE"
"26.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIyMDU=.html","Energieverbrauch und Energieeffizienz der neuen Personenwagen und leichten Nutzfahrzeuge 2024","DE"
"26.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIyMDc=.html","Vollzug der CO2-Emissionsvorschriften für Lieferwagen und leichte Sattelschlepper 2024","DE"
"26.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIyMDg=.html","CO2-Emissionsvorschriften für Lieferwagen und leichte Sattelschlepper – Zentrale Vollzugsresultate 2024","DE"
"26.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIyMDY=.html","Vollzug der CO2-Emissionsvorschriften für Personenwagen 2024","DE"
"26.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIyMDk=.html","CO2-Emissionsvorschriften für Personenwagen – Zentrale Vollzugsresultate 2024","DE"
"19.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNzA=.html","Gesuch um Erteilung einer Rahmenbewilligung für ein geologisches Tiefenlager","DE"
"19.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIyMDA=.html","Neu bauen mit alten Teilen","DE"
"19.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxOTQ=.html","Faktenblatt: Revision Elektrizitätsbilanzen 2020 – 2024","DE"
"19.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNzk=.html","Gesuch um Erteilung einer Rahmenbewilligung für eine Brennelementverpackungsanlage","DE"
